SampleID	PolishingStep	Identity_aa
set191_4	sam	2/213 ( 0.9%)
set191_2	sam	135/224 (60.3%)
set191_3	sam	213/213 (100.0%)
set191_1	sam	5/229 ( 2.2%)
set191_6	sam	210/213 (98.6%)
set191_2	draft	135/224 (60.3%)
set191_4	draft	2/213 ( 0.9%)
set191_5	sam	213/213 (100.0%)
set191_3	draft	213/213 (100.0%)
set191_1	draft	5/228 ( 2.2%)
set191_6	draft	211/213 (99.1%)
set191_5	draft	213/213 (100.0%)
set191_4	racon_1rd	2/213 ( 0.9%)
set191_2	racon_1rd	166/213 (77.9%)
set191_3	racon_1rd	213/213 (100.0%)
set191_1	racon_1rd	5/229 ( 2.2%)
set191_4	racon_2rd	2/213 ( 0.9%)
set191_2	racon_2rd	213/214 (99.5%)
set191_6	racon_1rd	210/213 (98.6%)
set191_5	racon_1rd	213/213 (100.0%)
set191_1	racon_2rd	5/229 ( 2.2%)
set191_3	racon_2rd	213/213 (100.0%)
set191_4	racon_3rd	2/213 ( 0.9%)
set191_1	racon_3rd	5/229 ( 2.2%)
set191_6	racon_2rd	210/213 (98.6%)
set191_2	racon_3rd	166/213 (77.9%)
set191_5	racon_2rd	213/213 (100.0%)
set191_5	racon_3rd	213/213 (100.0%)
set191_3	racon_3rd	213/213 (100.0%)
set191_4	medaka_1rd	2/213 ( 0.9%)
set191_1	medaka_1rd	5/229 ( 2.2%)
set191_6	racon_3rd	210/213 (98.6%)
set191_2	medaka_1rd	213/213 (100.0%)
set191_5	medaka_1rd	213/213 (100.0%)
set191_6	medaka_1rd	210/213 (98.6%)
set191_3	medaka_1rd	213/213 (100.0%)
